Model,Resolution,Image Size,Conf Thresh,Min FPS,Max FPS,Avg FPS,Min Conf,Max Conf,Avg Conf,Precision,Recall,Accuracy,F1 Score,Remark
yolov8n-seg.pt,416x312,128,0.3,1.0,15.05,12.64,0.3,0.87,0.73,0.77,1.0,0.77,0.87,okayyyy but not good
yolov8n-seg.pt,480x360,128,0.3,1.0,15.39,13.27,0.3,0.92,0.66,0.59,1.0,0.59,0.74,nahhh looks bad idk
yolov8n-seg.pt,480x360,160,0.3,0.98,15.32,13.14,0.3,0.87,0.56,0.48,1.0,0.48,0.65,okayyy can be better
yolov8n-seg.pt,480x360,192,0.3,0.93,12.2,10.5,0.3,0.95,0.72,0.47,1.0,0.47,0.64,okayyy 2ppl so bad
yolov8n-seg.pt,480x360,320,0.3,0.84,5.89,5.41,0.3,0.95,0.71,0.43,1.0,0.43,0.6,okay its good but low fps
yolov8n-seg.pt,480x360,320,0.3,0.86,5.96,5.47,0.3,0.94,0.69,0.5,1.0,0.5,0.67,okays
yolov8n-seg.pt,480x360,320,0.3,0.87,5.92,5.41,0.3,0.94,0.77,0.56,1.0,0.56,0.72,okayss
yolov8n.pt,480x360,320,0.3,0.92,7.98,7.04,0.31,0.97,0.76,0.63,0.97,0.62,0.76,actually good 
yolov8s.pt,480x360,320,0.3,0.66,3.26,2.82,0.3,0.95,0.73,0.5,1.0,0.5,0.66,too laggy not accurate
yolov8s-seg.pt,480x360,320,0.3,0.61,2.22,1.87,0.3,0.94,0.7,0.41,1.0,0.41,0.58,crazy laggy but gooddd
yolov8s-seg.pt,480x360,160,0.3,0.7,6.7,5.38,0.36,0.93,0.78,0.55,1.0,0.55,0.71,not bad is good acc 
yolov8m.pt,480x360,160,0.3,0.52,4.11,3.49,0.31,0.94,0.73,0.49,1.0,0.49,0.66,crazyy acc but slowww
